Key,Outers,Inners
3_180.000000,1740 180 15000 180 15000 4775 1740 4775 1740 180 ,
5_180.000000,936 659 15000 659 15000 4900 936 4900 936 659 ,
4_180.000000,1600 368 15000 368 15000 4900 1600 4900 1600 368 ,
0_0.000000,2185 238 14185 238 14185 2878 2185 2878 2185 238 ,
6_0.000000,2186 288 14510 288 14510 3822 2186 3822 2186 288 ,
2_180.000000,2183 173 15000 173 15000 3413 2183 3413 2183 173 ,
2_0.000000,2183 650 15000 650 15000 3890 2183 3890 2183 650 ,
7_0.000000,2705 387 15000 387 15000 4135 2705 4135 2705 387 ,
1_0.000000,3034 261 15000 261 15000 4900 3034 4900 3034 261 ,
1_180.000000,3034 261 15000 261 15000 4900 3034 4900 3034 261 ,
5_0.000000,936 659 15000 659 15000 4900 936 4900 936 659 ,
6_180.000000,2621 1293 14945 1293 14945 4827 2621 4827 2621 1293 ,
4_0.000000,1500 368 14900 368 14900 4900 1500 4900 1500 368 ,
0_180.000000,2035 142 14035 142 14035 2782 2035 2782 2035 142 ,
3_0.000000,1740 125 15000 125 15000 4720 1740 4720 1740 125 ,
7_180.000000,1645 93 13940 93 13940 3841 1645 3841 1645 93 ,
