Key,Outers,Inners
6_180.000000,200 200 6000 200 6000 1500 200 1500 200 200 ,
3_180.000000,301 200 5901 200 5901 1200 301 1200 301 200 ,
1_0.000000,300 200 5900 200 5900 1200 300 1200 300 200 ,
1_180.000000,400 200 6000 200 6000 1200 400 1200 400 200 ,
4_0.000000,500 500 6000 500 6000 1500 500 1500 500 500 ,
0_180.000000,400 100 6000 100 6000 1101 400 1101 400 100 ,
2_0.000000,400 100 6000 100 6000 1200 400 1200 400 100 ,
3_0.000000,300 200 5900 200 5900 1200 300 1200 300 200 ,
5_0.000000,400 300 6000 300 6000 1500 400 1500 400 300 ,
6_0.000000,200 200 6000 200 6000 1500 200 1500 200 200 ,
2_180.000000,400 100 6000 100 6000 1200 400 1200 400 100 ,
0_0.000000,400 100 6000 100 6000 1100 400 1100 400 100 ,
4_180.000000,201 200 5701 200 5701 1200 201 1200 201 200 ,
5_180.000000,199 300 5800 300 5800 1500 199 1500 199 300 ,
