Key,Outers,Inners
8_180.000000,800 100 10000 100 10000 5800 800 5800 800 100 ,
7_180.000000,100 100 9601 100 9601 5500 100 5500 100 100 ,
9_180.000000,1400 640 10000 640 10000 6000 1400 6000 1400 640 ,
0_180.000000,1500 100 10000 100 10000 5200 1500 5200 1500 100 ,
1_180.000000,900 1200 10000 1200 10000 6000 900 6000 900 1200 ,
6_180.000000,2300 200 10000 200 10000 5700 2300 5700 2300 200 ,
2_0.000000,1100 600 10000 600 10000 4200 1100 4200 1100 600 ,
5_0.000000,600 100 9500 100 9500 2800 600 2800 600 100 ,
3_0.000000,1400 1500 10000 1500 10000 6000 1400 6000 1400 1500 ,
6_0.000000,1300 500 9000 500 9000 6000 1300 6000 1300 500 ,
2_180.000000,1100 600 10000 600 10000 4200 1100 4200 1100 600 ,
1_0.000000,400 100 9500 100 9500 4900 400 4900 400 100 ,
4_180.000000,900 500 10000 500 10000 6000 900 6000 900 500 ,
0_0.000000,1500 300 10000 300 10000 5400 1500 5400 1500 300 ,
9_0.000000,500 640 9100 640 9100 6000 500 6000 500 640 ,
3_180.000000,1400 1500 10000 1500 10000 6000 1400 6000 1400 1500 ,
4_0.000000,700 500 9800 500 9800 6000 700 6000 700 500 ,
7_0.000000,500 600 10000 600 10000 6000 500 6000 500 600 ,
8_0.000000,600 300 9800 300 9800 6000 600 6000 600 300 ,
5_180.000000,1099 100 10000 100 10000 2800 1099 2800 1099 100 ,
