Key,Outers,Inners
5_180.000000,1000 900 8000 900 8000 3800 1000 3800 1000 900 ,
4_0.000000,1400 1400 8000 1400 8000 3800 1400 3800 1400 1400 ,
6_90.000000,900 1 8000 1 8000 3301 900 3301 900 1 ,
10_0.000000,700 1200 7300 1200 7300 3800 700 3800 700 1200 ,
8_180.000000,1000 1400 8000 1400 8000 3800 1000 3800 1000 1400 ,
1_0.000000,1400 900 8000 900 8000 3800 1400 3800 1400 900 ,
0_0.000000,1000 1000 8000 1000 8000 3800 1000 3800 1000 1000 ,
8_0.000000,1000 1000 8000 1000 8000 3400 1000 3400 1000 1000 ,
0_90.000000,1000 1 8000 1 8000 2801 1000 2801 1000 1 ,
7_0.000000,1400 1400 8000 1400 8000 3800 1400 3800 1400 1400 ,
5_0.000000,1000 400 8000 400 8000 3300 1000 3300 1000 400 ,
3_0.000000,1400 900 8000 900 8000 3800 1400 3800 1400 900 ,
5_270.000000,500 999 7600 999 7600 3800 500 3800 500 999 ,
2_0.000000,700 700 7300 700 7300 3800 700 3800 700 700 ,
6_0.000000,500 900 8000 900 8000 3800 500 3800 500 900 ,
9_0.000000,800 800 8000 800 8000 3800 800 3800 800 800 ,
4_90.000000,1400 1400 8000 1400 8000 3800 1400 3800 1400 1400 ,
1_90.000000,900 1400 8000 1400 8000 3800 900 3800 900 1400 ,
0_270.000000,1000 1000 8000 1000 8000 3800 1000 3800 1000 1000 ,
8_90.000000,1000 1 7600 1 7600 2801 1000 2801 1000 1 ,
7_90.000000,0 1400 6600 1400 6600 3800 0 3800 0 1400 ,
3_270.000000,0 1399 7100 1399 7100 3800 0 3800 0 1399 ,
9_180.000000,399 800 7600 800 7600 3800 399 3800 399 800 ,
10_90.000000,1200 701 8000 701 8000 3101 1200 3101 1200 701 ,
5_90.000000,900 1000 8000 1000 8000 3800 900 3800 900 1000 ,
3_90.000000,900 1400 8000 1400 8000 3800 900 3800 900 1400 ,
6_270.000000,900 500 8000 500 8000 3800 900 3800 900 500 ,
2_90.000000,700 700 8000 700 8000 3100 700 3100 700 700 ,
9_90.000000,800 800 8000 800 8000 3800 800 3800 800 800 ,
4_180.000000,1400 1400 8000 1400 8000 3800 1400 3800 1400 1400 ,
1_180.000000,1400 900 8000 900 8000 3800 1400 3800 1400 900 ,
0_180.000000,1000 1000 8000 1000 8000 3800 1000 3800 1000 1000 ,
7_180.000000,1400 1400 8000 1400 8000 3800 1400 3800 1400 1400 ,
10_180.000000,1400 1200 8000 1200 8000 3800 1400 3800 1400 1200 ,
3_180.000000,1400 900 8000 900 8000 3800 1400 3800 1400 900 ,
2_180.000000,1400 700 8000 700 8000 3800 1400 3800 1400 700 ,
6_180.000000,500 900 8000 900 8000 3800 500 3800 500 900 ,
4_270.000000,1400 1400 8000 1400 8000 3800 1400 3800 1400 1400 ,
1_270.000000,900 1400 8000 1400 8000 3800 900 3800 900 1400 ,
8_270.000000,1400 1000 8000 1000 8000 3800 1400 3800 1400 1000 ,
7_270.000000,1400 1400 8000 1400 8000 3800 1400 3800 1400 1400 ,
10_270.000000,1200 1400 8000 1400 8000 3800 1200 3800 1200 1400 ,
2_270.000000,700 1400 8000 1400 8000 3800 700 3800 700 1400 ,
9_270.000000,800 400 8000 400 8000 3401 800 3401 800 400 ,
