Key,Outers,Inners
17_270.000000,600 600 5000 600 5000 7000 600 7000 600 600 ,
5_270.000000,600 600 5000 600 5000 7000 600 7000 600 600 ,
9_270.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
6_270.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
3_270.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
14_270.000000,1000 400 5000 400 5000 6601 1000 6601 1000 400 ,
18_270.000000,400 399 4600 399 4600 6599 400 6599 400 399 ,
10_270.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
16_270.000000,800 200 5000 200 5000 6400 800 6400 800 200 ,
7_270.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
20_270.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
4_270.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
12_270.000000,1200 600 5000 600 5000 6401 1200 6401 1200 600 ,
8_270.000000,1200 1200 5000 1200 5000 7000 1200 7000 1200 1200 ,
15_180.000000,600 200 5000 200 5000 6600 600 6600 600 200 ,
11_270.000000,1600 600 5000 600 5000 6401 1600 6401 1600 600 ,
17_180.000000,600 600 5000 600 5000 7000 600 7000 600 600 ,
5_180.000000,200 400 4600 400 4600 6800 200 6800 200 400 ,
3_180.000000,601 200 4801 200 4801 6400 601 6400 601 200 ,
8_90.000000,1200 601 5000 601 5000 6401 1200 6401 1200 601 ,
21_180.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
1_90.000000,1000 1 5000 1 5000 6001 1000 6001 1000 1 ,
19_180.000000,1200 1200 5000 1200 5000 7000 1200 7000 1200 1200 ,
2_0.000000,400 200 4800 200 4800 6600 400 6600 400 200 ,
2_90.000000,600 600 5000 600 5000 7000 600 7000 600 600 ,
4_90.000000,200 200 4200 200 4200 6200 200 6200 200 200 ,
17_0.000000,600 300 5000 300 5000 6700 600 6700 600 300 ,
15_0.000000,600 200 5000 200 5000 6600 600 6600 600 200 ,
9_0.000000,400 800 4600 800 4600 7000 400 7000 400 800 ,
0_180.000000,1200 400 5000 400 5000 6600 1200 6600 1200 400 ,
14_0.000000,800 500 5000 500 5000 6500 800 6500 800 500 ,
0_90.000000,800 600 5000 600 5000 6400 800 6400 800 600 ,
3_0.000000,600 200 4800 200 4800 6400 600 6400 600 200 ,
11_90.000000,1600 601 5000 601 5000 6401 1600 6401 1600 601 ,
3_90.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
15_90.000000,600 301 5000 301 5000 6701 600 6701 600 301 ,
18_0.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
5_0.000000,600 600 5000 600 5000 7000 600 7000 600 600 ,
10_90.000000,1000 1 5000 1 5000 6001 1000 6001 1000 1 ,
21_0.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
6_180.000000,200 600 4400 600 4400 6800 200 6800 200 600 ,
12_0.000000,1200 1200 5000 1200 5000 7000 1200 7000 1200 1200 ,
10_180.000000,0 1000 4000 1000 4000 7000 0 7000 0 1000 ,
19_270.000000,1200 1200 5000 1200 5000 7000 1200 7000 1200 1200 ,
20_0.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
11_180.000000,1200 800 5000 800 5000 6200 1200 6200 1200 800 ,
8_0.000000,600 1200 4400 1200 4400 7000 600 7000 600 1200 ,
5_90.000000,600 201 5000 201 5000 6601 600 6601 600 201 ,
12_90.000000,1200 1200 5000 1200 5000 7000 1200 7000 1200 1200 ,
4_0.000000,800 200 4800 200 4800 6200 800 6200 800 200 ,
18_180.000000,800 400 5000 400 5000 6600 800 6600 800 400 ,
20_90.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
10_0.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
0_270.000000,800 600 5000 600 5000 6400 800 6400 800 600 ,
7_0.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
2_270.000000,600 600 5000 600 5000 7000 600 7000 600 600 ,
2_180.000000,401 200 4801 200 4801 6600 401 6600 401 200 ,
16_0.000000,800 200 5000 200 5000 6400 800 6400 800 200 ,
16_180.000000,800 200 5000 200 5000 6400 800 6400 800 200 ,
13_180.000000,499 1000 4500 1000 4500 7000 499 7000 499 1000 ,
13_0.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
1_180.000000,1000 500 5000 500 5000 6500 1000 6500 1000 500 ,
1_270.000000,500 499 4500 499 4500 6499 500 6499 500 499 ,
19_0.000000,1200 1200 5000 1200 5000 7000 1200 7000 1200 1200 ,
15_270.000000,600 200 5000 200 5000 6600 600 6600 600 200 ,
9_180.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
0_0.000000,1200 400 5000 400 5000 6600 1200 6600 1200 400 ,
6_0.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
7_90.000000,1000 1 5000 1 5000 6001 1000 6001 1000 1 ,
1_0.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
16_90.000000,800 401 5000 401 5000 6601 800 6601 800 401 ,
21_270.000000,1000 1000 5000 1000 5000 7000 1000 7000 1000 1000 ,
19_90.000000,1200 1200 5000 1200 5000 7000 1200 7000 1200 1200 ,
14_90.000000,1000 401 5000 401 5000 6601 1000 6601 1000 401 ,
13_270.000000,1000 500 5000 500 5000 6501 1000 6501 1000 500 ,
7_180.000000,200 800 4200 800 4200 6800 200 6800 200 800 ,
8_180.000000,1200 1200 5000 1200 5000 7000 1200 7000 1200 1200 ,
13_90.000000,1000 999 5000 999 5000 7000 1000 7000 1000 999 ,
12_180.000000,599 1200 4400 1200 4400 7000 599 7000 599 1200 ,
18_90.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
6_90.000000,800 200 5000 200 5000 6400 800 6400 800 200 ,
21_90.000000,1000 1 5000 1 5000 6001 1000 6001 1000 1 ,
9_90.000000,800 401 5000 401 5000 6601 800 6601 800 401 ,
17_90.000000,300 300 4700 300 4700 6700 300 6700 300 300 ,
11_0.000000,1200 800 5000 800 5000 6200 1200 6200 1200 800 ,
4_180.000000,801 200 4801 200 4801 6200 801 6200 801 200 ,
20_180.000000,800 800 5000 800 5000 7000 800 7000 800 800 ,
14_180.000000,799 500 5000 500 5000 6500 799 6500 799 500 ,
