Key,Outers,Inners
2_270.000000,80 239 5000 239 5000 2548 80 2548 80 239 ,
1_270.000000,273 316 4998 316 4998 2550 273 2550 273 316 ,
4_270.000000,252 150 5000 150 5000 2550 252 2550 252 150 ,
3_270.000000,310 384 5000 384 5000 2175 310 2175 310 384 ,
5_270.000000,452 54 4947 54 4947 1753 452 1753 452 54 ,
6_90.000000,500 94 4953 94 4953 1547 500 1547 500 94 ,
3_180.000000,759 191 5000 191 5000 2431 759 2431 759 191 ,
5_90.000000,414 349 4909 349 4909 2047 414 2047 414 349 ,
2_90.000000,78 242 4998 242 4998 2550 78 2550 78 242 ,
2_0.000000,242 80 5000 80 5000 2550 242 2550 242 80 ,
4_0.000000,148 175 4998 175 4998 2473 148 2473 148 175 ,
0_90.000000,396 19 4989 19 4989 1472 396 1472 396 19 ,
1_0.000000,316 2 5000 2 5000 2277 316 2277 316 2 ,
6_270.000000,547 827 5000 827 5000 2280 547 2280 547 827 ,
8_0.000000,745 24 5000 24 5000 2292 745 2292 745 24 ,
5_0.000000,784 3 4932 3 4932 2048 784 2048 784 3 ,
0_0.000000,1097 295 5000 295 5000 2438 1097 2438 1097 295 ,
4_180.000000,150 177 5000 177 5000 2475 150 2475 150 177 ,
3_0.000000,384 70 4625 70 4625 2310 384 2310 384 70 ,
3_90.000000,310 1 5000 1 5000 1792 310 1792 310 1 ,
4_90.000000,175 2 4923 2 4923 2402 175 2402 175 2 ,
1_90.000000,275 316 5000 316 5000 2550 275 2550 275 316 ,
8_90.000000,196 126 4914 126 4914 1931 196 1931 196 126 ,
7_180.000000,998 161 4904 161 4904 2284 998 2284 998 161 ,
8_270.000000,258 745 4976 745 4976 2550 258 2550 258 745 ,
6_0.000000,894 20 4797 20 4797 2023 894 2023 894 20 ,
0_180.000000,1088 292 4991 292 4991 2435 1088 2435 1088 292 ,
6_180.000000,404 3 4307 3 4307 2006 404 2006 404 3 ,
7_0.000000,1094 211 5000 211 5000 2334 1094 2334 1094 211 ,
5_180.000000,553 54 4701 54 4701 2099 553 2099 553 54 ,
8_180.000000,745 282 5000 282 5000 2550 745 2550 745 282 ,
7_270.000000,399 75 4972 75 4972 1531 399 1531 399 75 ,
1_180.000000,316 275 5000 275 5000 2550 316 2550 316 275 ,
7_90.000000,208 61 4781 61 4781 1517 208 1517 208 61 ,
2_180.000000,242 2 5000 2 5000 2472 242 2472 242 2 ,
0_270.000000,292 9 4885 9 4885 1462 292 1462 292 9 ,
