Key,Outers,Inners
5_270.000000,2000 200 28000 200 28000 10201 2000 10201 2000 200 ,
1_270.000000,600 200 28000 200 28000 8500 600 8500 600 200 ,
6_90.000000,2600 400 26900 400 26900 7900 2600 7900 2600 400 ,
3_180.000000,400 3900 28000 3900 28000 10400 400 10400 400 3900 ,
5_0.000000,400 1000 28000 1000 28000 9400 400 9400 400 1000 ,
0_90.000000,2800 701 28000 701 28000 9001 2800 9001 2800 701 ,
1_0.000000,2100 500 28000 500 28000 10300 2100 10300 2100 500 ,
4_0.000000,1000 1100 28000 1100 28000 10400 1000 10400 1000 1100 ,
5_90.000000,2000 200 28000 200 28000 10201 2000 10201 2000 200 ,
2_90.000000,1400 300 27700 300 27700 7400 1400 7400 1400 300 ,
2_0.000000,3300 1400 28000 1400 28000 10100 3300 10100 3300 1400 ,
3_0.000000,400 3900 28000 3900 28000 10400 400 10400 400 3900 ,
3_90.000000,3900 1 28000 1 28000 10001 3900 10001 3900 1 ,
2_270.000000,1700 3300 28000 3300 28000 10400 1700 10400 1700 3300 ,
0_0.000000,2100 2200 28000 2200 28000 9800 2100 9800 2100 2200 ,
4_180.000000,1000 1100 28000 1100 28000 10400 1000 10400 1000 1100 ,
4_90.000000,1100 1 28000 1 28000 9401 1100 9401 1100 1 ,
6_180.000000,2501 300 27601 300 27601 7000 2501 7000 2501 300 ,
6_0.000000,2700 1200 27800 1200 27800 7900 2700 7900 2700 1200 ,
0_180.000000,2100 600 28000 600 28000 8200 2100 8200 2100 600 ,
7_90.000000,1300 200 27800 200 27800 6900 1300 6900 1300 200 ,
2_180.000000,3300 1700 28000 1700 28000 10400 3300 10400 3300 1700 ,
1_90.000000,400 400 27800 400 27800 8700 400 8700 400 400 ,
7_180.000000,3700 1500 28000 1500 28000 10400 3700 10400 3700 1500 ,
1_180.000000,1701 200 27601 200 27601 10000 1701 10000 1701 200 ,
7_0.000000,3700 600 28000 600 28000 9500 3700 9500 3700 600 ,
5_180.000000,399 200 28000 200 28000 8600 399 8600 399 200 ,
6_270.000000,3700 2900 28000 2900 28000 10400 3700 10400 3700 2900 ,
4_270.000000,1100 1000 28000 1000 28000 10400 1100 10400 1100 1000 ,
3_270.000000,3900 400 28000 400 28000 10400 3900 10400 3900 400 ,
0_270.000000,2800 2100 28000 2100 28000 10400 2800 10400 2800 2100 ,
7_270.000000,1500 3300 28000 3300 28000 10000 1500 10000 1500 3300 ,
