Key,Outers,Inners
6_180.000000,30 10 1500 10 1500 400 30 400 30 10 ,
5_180.000000,40 10 1500 10 1500 400 40 400 40 10 ,
2_0.000000,120 50 1500 50 1500 360 120 360 120 50 ,
1_0.000000,130 20 1500 20 1500 360 130 360 130 20 ,
1_180.000000,120 10 1490 10 1490 350 120 350 120 10 ,
4_180.000000,80 10 1500 10 1500 400 80 400 80 10 ,
0_0.000000,90 10 1500 10 1500 340 90 340 90 10 ,
3_180.000000,40 30 1500 30 1500 400 40 400 40 30 ,
7_0.000000,90 20 1500 20 1500 400 90 400 90 20 ,
3_0.000000,40 20 1500 20 1500 390 40 390 40 20 ,
4_0.000000,70 10 1490 10 1490 400 70 400 70 10 ,
0_180.000000,80 20 1490 20 1490 350 80 350 80 20 ,
5_0.000000,40 10 1500 10 1500 400 40 400 40 10 ,
6_0.000000,30 10 1500 10 1500 400 30 400 30 10 ,
2_180.000000,51 10 1431 10 1431 321 51 321 51 10 ,
7_180.000000,40 10 1450 10 1450 390 40 390 40 10 ,
