Key,Outers,Inners
9_180.000000,253 93 11895 93 11895 5207 253 5207 253 93 ,
3_180.000000,840 3 11489 3 11489 5479 840 5479 840 3 ,
1_180.000000,879 148 11992 148 11992 5355 879 5355 879 148 ,
8_180.000000,264 90 11117 90 11117 5129 264 5129 264 90 ,
5_180.000000,136 178 10822 178 10822 4758 136 4758 136 178 ,
2_180.000000,952 26 11013 26 11013 5088 952 5088 952 26 ,
6_180.000000,1275 29 12000 29 12000 4709 1275 4709 1275 29 ,
7_180.000000,1078 166 11977 166 11977 4678 1078 4678 1078 166 ,
9_0.000000,208 70 11850 70 11850 5184 208 5184 208 70 ,
10_0.000000,1350 69 11997 69 11997 4245 1350 4245 1350 69 ,
4_0.000000,1197 16 11883 16 11883 4596 1197 4596 1197 16 ,
0_180.000000,1059 37 11318 37 11318 4754 1059 4754 1059 37 ,
7_0.000000,159 1 11058 1 11058 4513 159 4513 159 1 ,
6_0.000000,306 58 11031 58 11031 4738 306 4738 306 58 ,
2_0.000000,1070 31 11131 31 11131 5093 1070 5093 1070 31 ,
5_0.000000,1197 16 11883 16 11883 4596 1197 4596 1197 16 ,
8_0.000000,954 169 11807 169 11807 5208 954 5208 954 169 ,
1_0.000000,805 195 11918 195 11918 5402 805 5402 805 195 ,
4_180.000000,136 178 10822 178 10822 4758 136 4758 136 178 ,
0_0.000000,993 155 11251 155 11251 4871 993 4871 993 155 ,
10_180.000000,497 80 11145 80 11145 4256 497 4256 497 80 ,
3_0.000000,1351 137 12000 137 12000 5612 1351 5612 1351 137 ,
