Key,Outers,Inners
6_180.000000,2100 200 40000 200 40000 7900 2100 7900 2100 200 ,
8_180.000000,1500 400 40000 400 40000 7900 1500 7900 1500 400 ,
8_0.000000,1500 100 40000 100 40000 7600 1500 7600 1500 100 ,
11_0.000000,1300 500 40000 500 40000 7900 1300 7900 1300 500 ,
3_180.000000,5200 500 40000 500 40000 7900 5200 7900 5200 500 ,
5_0.000000,4200 500 40000 500 40000 7900 4200 7900 4200 500 ,
12_180.000000,1300 400 40000 400 40000 7900 1300 7900 1300 400 ,
4_0.000000,4400 500 40000 500 40000 7900 4400 7900 4400 500 ,
15_0.000000,800 200 40000 200 40000 7100 800 7100 800 200 ,
2_0.000000,5700 500 40000 500 40000 7900 5700 7900 5700 500 ,
3_0.000000,5200 500 40000 500 40000 7900 5200 7900 5200 500 ,
13_0.000000,1200 500 40000 500 40000 7900 1200 7900 1200 500 ,
1_180.000000,5600 1400 40000 1400 40000 7101 5600 7101 5600 1400 ,
9_0.000000,1400 500 40000 500 40000 7900 1400 7900 1400 500 ,
0_0.000000,2400 300 36500 300 36500 6600 2400 6600 2400 300 ,
14_0.000000,1000 200 39800 200 39800 7000 1000 7000 1000 200 ,
14_180.000000,1199 101 40000 101 40000 6901 1199 6901 1199 101 ,
10_0.000000,1400 100 40000 100 40000 7600 1400 7600 1400 100 ,
10_180.000000,1400 400 40000 400 40000 7900 1400 7900 1400 400 ,
12_0.000000,1300 100 40000 100 40000 7600 1300 7600 1300 100 ,
2_180.000000,5700 500 40000 500 40000 7900 5700 7900 5700 500 ,
6_0.000000,2100 200 40000 200 40000 7900 2100 7900 2100 200 ,
0_180.000000,5501 500 39601 500 39601 6801 5501 6801 5501 500 ,
7_0.000000,1500 400 40000 400 40000 7600 1500 7600 1500 400 ,
5_180.000000,4200 500 40000 500 40000 7900 4200 7900 4200 500 ,
4_180.000000,4400 500 40000 500 40000 7900 4400 7900 4400 500 ,
9_180.000000,1400 500 40000 500 40000 7900 1400 7900 1400 500 ,
7_180.000000,1500 100 40000 100 40000 7300 1500 7300 1500 100 ,
1_0.000000,4700 300 39100 300 39100 6000 4700 6000 4700 300 ,
11_180.000000,1300 500 40000 500 40000 7900 1300 7900 1300 500 ,
16_180.000000,599 100 40000 100 40000 7300 599 7300 599 100 ,
16_0.000000,500 100 39900 100 39900 7300 500 7300 500 100 ,
15_180.000000,800 800 40000 800 40000 7701 800 7701 800 800 ,
13_180.000000,1200 500 40000 500 40000 7900 1200 7900 1200 500 ,
