Key,Outers,Inners
23_180.000000,137 2 5807.57 2 5807.57 1383 137 1383 137 2 ,
46_180.000000,217 1 5807.57 1 5807.57 1404 217 1404 217 1 ,
1_180.000000,216 1 5807.57 1 5807.57 1405 216 1405 216 1 ,
36_180.000000,275 103 5785.57 103 5785.57 1500 275 1500 275 103 ,
51_180.000000,276 102 5786.57 102 5786.57 1500 276 1500 276 102 ,
21_180.000000,275 102 5785.57 102 5785.57 1500 275 1500 275 102 ,
6_180.000000,275 103 5785.57 103 5785.57 1500 275 1500 275 103 ,
4_180.000000,56 2 5556.57 2 5556.57 1397 56 1397 56 2 ,
34_180.000000,57 1 5556.57 1 5556.57 1396 57 1396 57 1 ,
7_180.000000,179 19 5799.57 19 5799.57 1323 179 1323 179 19 ,
37_180.000000,180 19 5799.57 19 5799.57 1323 180 1323 180 19 ,
52_180.000000,179 18 5799.57 18 5799.57 1323 179 1323 179 18 ,
9_180.000000,187 59 5807.57 59 5807.57 1364 187 1364 187 59 ,
39_180.000000,187 59 5807.57 59 5807.57 1364 187 1364 187 59 ,
22_180.000000,179 19 5799.57 19 5799.57 1323 179 1323 179 19 ,
44_180.000000,262 114 5807.57 114 5807.57 1500 262 1500 262 114 ,
14_180.000000,260 114 5807.57 114 5807.57 1500 260 1500 260 114 ,
29_180.000000,262 114 5807.57 114 5807.57 1500 262 1500 262 114 ,
59_180.000000,261 114 5807.57 114 5807.57 1500 261 1500 261 114 ,
13_180.000000,203 4 5807.57 4 5807.57 1289 203 1289 203 4 ,
43_180.000000,203 3 5807.57 3 5807.57 1289 203 1289 203 3 ,
58_180.000000,202 3 5807.57 3 5807.57 1289 202 1289 202 3 ,
32_180.000000,202 4 5807.57 4 5807.57 1289 202 1289 202 4 ,
57_180.000000,949 40 5807.57 40 5807.57 1500 949 1500 949 40 ,
27_180.000000,950 40 5807.57 40 5807.57 1500 950 1500 950 40 ,
48_180.000000,1011 108 5807.57 108 5807.57 1500 1011 1500 1011 108 ,
16_180.000000,214 26 5804.57 26 5804.57 1430 214 1430 214 26 ,
31_180.000000,215 26 5805.57 26 5805.57 1430 215 1430 215 26 ,
14_0.000000,241 57 5788.57 57 5788.57 1443 241 1443 241 57 ,
29_0.000000,243 57 5788.57 57 5788.57 1443 243 1443 243 57 ,
47_0.000000,62 5 5667.57 5 5667.57 1291 62 1291 62 5 ,
2_0.000000,63 5 5667.57 5 5667.57 1291 63 1291 63 5 ,
20_0.000000,311 23 5048.57 23 5048.57 1096 311 1096 311 23 ,
50_180.000000,1005 1 5743.57 1 5743.57 1075 1005 1075 1005 1 ,
0_180.000000,918 1 5645.57 1 5645.57 1189 918 1189 918 1 ,
13_0.000000,63 6 5667.57 6 5667.57 1291 63 1291 63 6 ,
3_180.000000,1011 108 5807.57 108 5807.57 1500 1011 1500 1011 108 ,
32_0.000000,62 6 5667.57 6 5667.57 1291 62 1291 62 6 ,
12_0.000000,950 40 5807.57 40 5807.57 1500 950 1500 950 40 ,
12_180.000000,950 40 5807.57 40 5807.57 1500 950 1500 950 40 ,
20_180.000000,1005 1 5742.57 1 5742.57 1074 1005 1074 1005 1 ,
17_0.000000,63 5 5667.57 5 5667.57 1291 63 1291 63 5 ,
58_0.000000,62 5 5667.57 5 5667.57 1291 62 1291 62 5 ,
42_0.000000,950 40 5807.57 40 5807.57 1500 950 1500 950 40 ,
3_0.000000,1011 108 5807.57 108 5807.57 1500 1011 1500 1011 108 ,
8_180.000000,137 2 5807.57 2 5807.57 1383 137 1383 137 2 ,
47_180.000000,202 3 5807.57 3 5807.57 1289 202 1289 202 3 ,
43_0.000000,63 5 5667.57 5 5667.57 1291 63 1291 63 5 ,
23_0.000000,124 8 5794.57 8 5794.57 1389 124 1389 124 8 ,
56_0.000000,167 1 4904.57 1 4904.57 1079 167 1079 167 1 ,
5_0.000000,311 23 5048.57 23 5048.57 1096 311 1096 311 23 ,
26_180.000000,810 33 5547.57 33 5547.57 1111 810 1111 810 33 ,
35_0.000000,311 23 5048.57 23 5048.57 1096 311 1096 311 23 ,
21_0.000000,22 0 5532.57 0 5532.57 1398 22 1398 22 0 ,
50_0.000000,310 23 5048.57 23 5048.57 1097 310 1097 310 23 ,
57_0.000000,950 40 5807.57 40 5807.57 1500 950 1500 950 40 ,
11_0.000000,224 2 4961.57 2 4961.57 1080 224 1080 224 2 ,
1_0.000000,181 1 5772.57 1 5772.57 1405 181 1405 181 1 ,
41_0.000000,224 1 4961.57 1 4961.57 1079 224 1079 224 1 ,
44_0.000000,243 57 5788.57 57 5788.57 1443 243 1443 243 57 ,
38_180.000000,138 3 5807.57 3 5807.57 1383 138 1383 138 3 ,
9_0.000000,167 44 5787.57 44 5787.57 1349 167 1349 167 44 ,
6_0.000000,56 7 5566.57 7 5566.57 1404 56 1404 56 7 ,
10_0.000000,643 11 5373.57 11 5373.57 1199 643 1199 643 11 ,
5_180.000000,1005 1 5742.57 1 5742.57 1074 1005 1074 1005 1 ,
59_0.000000,242 57 5788.57 57 5788.57 1443 242 1443 242 57 ,
48_0.000000,1011 108 5807.57 108 5807.57 1500 1011 1500 1011 108 ,
41_180.000000,811 33 5548.57 33 5548.57 1111 811 1111 811 33 ,
0_0.000000,299 11 5026.57 11 5026.57 1199 299 1199 299 11 ,
26_0.000000,225 1 4962.57 1 4962.57 1079 225 1079 225 1 ,
15_0.000000,297 11 5026.57 11 5026.57 1199 297 1199 297 11 ,
55_0.000000,260 1 4990.57 1 4990.57 1188 260 1188 260 1 ,
27_0.000000,950 40 5807.57 40 5807.57 1500 950 1500 950 40 ,
25_0.000000,642 11 5373.57 11 5373.57 1198 642 1198 642 11 ,
19_0.000000,307 104 5807.57 104 5807.57 1500 307 1500 307 104 ,
18_180.000000,1012 108 5807.57 108 5807.57 1500 1012 1500 1012 108 ,
40_0.000000,260 1 4990.57 1 4990.57 1188 260 1188 260 1 ,
28_0.000000,62 5 5667.57 5 5667.57 1291 62 1291 62 5 ,
24_0.000000,167 44 5786.57 44 5786.57 1349 167 1349 167 44 ,
8_0.000000,124 9 5794.57 9 5794.57 1390 124 1390 124 9 ,
39_0.000000,167 44 5787.57 44 5787.57 1349 167 1349 167 44 ,
36_0.000000,56 7 5566.57 7 5566.57 1404 56 1404 56 7 ,
35_180.000000,1005 1 5742.57 1 5742.57 1074 1005 1074 1005 1 ,
53_180.000000,137 3 5807.57 3 5807.57 1384 137 1384 137 3 ,
30_0.000000,299 12 5026.57 12 5026.57 1199 299 1199 299 12 ,
54_0.000000,167 44 5786.57 44 5786.57 1348 167 1348 167 44 ,
24_180.000000,188 59 5807.57 59 5807.57 1364 188 1364 188 59 ,
2_180.000000,203 3 5807.57 3 5807.57 1289 203 1289 203 3 ,
52_0.000000,57 4 5677.57 4 5677.57 1309 57 1309 57 4 ,
15_180.000000,962 2 5691.57 2 5691.57 1190 962 1190 962 2 ,
22_0.000000,57 4 5677.57 4 5677.57 1308 57 1308 57 4 ,
19_180.000000,56 1 5556.57 1 5556.57 1397 56 1397 56 1 ,
49_0.000000,307 105 5807.57 105 5807.57 1500 307 1500 307 105 ,
34_0.000000,308 105 5807.57 105 5807.57 1500 308 1500 308 105 ,
4_0.000000,307 105 5807.57 105 5807.57 1500 307 1500 307 105 ,
51_0.000000,55 7 5565.57 7 5565.57 1405 55 1405 55 7 ,
49_180.000000,56 1 5556.57 1 5556.57 1396 56 1396 56 1 ,
31_0.000000,175 1 5765.57 1 5765.57 1405 175 1405 175 1 ,
56_180.000000,810 32 5547.57 32 5547.57 1110 810 1110 810 32 ,
46_0.000000,175 1 5765.57 1 5765.57 1404 175 1404 175 1 ,
42_180.000000,949 40 5807.57 40 5807.57 1500 949 1500 949 40 ,
16_0.000000,182 1 5772.57 1 5772.57 1405 182 1405 182 1 ,
53_0.000000,124 8 5794.57 8 5794.57 1389 124 1389 124 8 ,
45_0.000000,298 12 5026.57 12 5026.57 1199 298 1199 298 12 ,
38_0.000000,125 9 5794.57 9 5794.57 1389 125 1389 125 9 ,
11_180.000000,810 32 5547.57 32 5547.57 1110 810 1110 810 32 ,
45_180.000000,886 1 5614.57 1 5614.57 1188 886 1188 886 1 ,
28_180.000000,202 3 5807.57 3 5807.57 1289 202 1289 202 3 ,
17_180.000000,203 4 5807.57 4 5807.57 1290 203 1290 203 4 ,
25_180.000000,831 13 5562.57 13 5562.57 1200 831 1200 831 13 ,
55_180.000000,831 13 5561.57 13 5561.57 1200 831 1200 831 13 ,
18_0.000000,1012 108 5807.57 108 5807.57 1500 1012 1500 1012 108 ,
33_0.000000,1012 108 5807.57 108 5807.57 1500 1012 1500 1012 108 ,
40_180.000000,831 13 5561.57 13 5561.57 1200 831 1200 831 13 ,
7_0.000000,58 4 5678.57 4 5678.57 1308 58 1308 58 4 ,
30_180.000000,918 1 5645.57 1 5645.57 1188 918 1188 918 1 ,
10_180.000000,831 12 5561.57 12 5561.57 1200 831 1200 831 12 ,
54_180.000000,188 59 5807.57 59 5807.57 1363 188 1363 188 59 ,
37_0.000000,58 4 5677.57 4 5677.57 1308 58 1308 58 4 ,
33_180.000000,1012 108 5807.57 108 5807.57 1500 1012 1500 1012 108 ,
