Key,Outers,Inners
4_180.000000-5-180.000000,837 -368 936 0 935 659 135 659 0 659 -665 659 -800 659 -1600 659 -1600 0 -1500 -368 -564 -368 -331.666 -340.784 -99 -368 837 -368 ,
5_180.000000-5-180.000000,936 -659 936 0 935 659 0 659 -1 659 -936 659 -936 0 -935 -659 0 -659 1 -659 936 -659 ,
1_180.000000-3-180.000000,1666 -386 1740 -261 1740 0 870 180 -2164 180 -3034 0 -3034 -261 -2960 -386 -1368 -386 74 -386 1666 -386 ,
3_180.000000-4-180.000000,730 -180 1600 0 1500 368 1426 493 726 411 25 493 -70.5 478.723 -166 493 -866 411 -1567 493 -1641 368 -1740 0 -870 -180 -459 -115 -70 -180 319 -115 730 -180 ,
3_180.000000-1-180.000000,2164 -180 3034 0 3034 261 2960 386 1368 386 -74 386 -1666 386 -1740 261 -1740 0 -870 -180 2164 -180 ,
1_180.000000-5-180.000000,936 -261 936 0 935 659 0 659 -2099 659 -3034 659 -3034 398 -3034 0 -3034 -261 -2098 -261 0 -261 936 -261 ,
5_180.000000-1-180.000000,3034 -659 3034 -398 3034 0 3034 261 2098 261 0 261 -936 261 -936 0 -935 -659 0 -659 2099 -659 3034 -659 ,
5_180.000000-4-180.000000,1600 -659 1600 0 1500 368 564 368 331.666 340.784 99 368 -837 368 -936 0 -935 -659 -135 -659 0 -659 665 -659 800 -659 1600 -659 ,
1_180.000000-1-180.000000,3034 -261 3034 0 3034 261 0 261 -3034 261 -3034 0 -3034 -261 0 -261 3034 -261 ,
7_180.000000-3-180.000000,807 -218 1084.73 -187.932 1134 -191 1337.79 -160.534 1666 -125 2726 -191 2800 -66 2800 1059 1930 1239 -569 1239 -1439 1059 -1645 672 -1562 125 -1488 0 -1014 -33 -785 -218 74 -125 264.084 -136.835 807 -218 ,
3_180.000000-7-180.000000,569 -1239 1439 -1059 1645 -672 1562 -125 1488 0 1014 33 785 218 -74 125 -264.084 136.835 -807 218 -1084.73 187.932 -1134 191 -1337.79 160.534 -1666 125 -2726 191 -2800 66 -2800 -1059 -1930 -1239 569 -1239 ,
4_180.000000-7-180.000000,1340 -1427 1546 -1040 1645 -672 1562 -125 1088 -92 859 93 373.542 40.4416 59 93 -415.898 41.5849 -741 93 -1015.8 63.2482 -1060 66 -1211.08 42.1066 -1307.9 31.6241 -1860 66 -2077.18 29.711 -2660 66 -2660 -1059 -2560 -1427 -1159 -1427 -61 -1427 1340 -1427 ,
7_180.000000-5-180.000000,77 -93 594.246 -37.0002 1060 -66 1996 -66 1996 1059 1995 1718 1060 1718 -504 1718 -1439 1718 -1645 1331 -1645 672 -1562 125 -1088 92 -859 -93 77 -93 ,
1_180.000000-4-180.000000,1600 -261 1600 0 1500 368 99 368 -1534 368 -2935 368 -3034 0 -3034 -261 -2234 -261 -1434 -261 0 -261 800 -261 1600 -261 ,
5_180.000000-7-180.000000,1439 -1718 1645 -1331 1645 -672 1562 -125 1088 -92 859 93 -77 93 -594.246 37.0002 -1060 66 -1996 66 -1996 -1059 -1995 -1718 -1060 -1718 504 -1718 1439 -1718 ,
7_180.000000-1-180.000000,2175 -93 2424.39 -66 4094 -66 4094 195 4094 1059 4094 1320 1595 1320 1060 1320 -1439 1320 -1645 933 -1645 672 -1562 125 -1088 92 -859 -93 2175 -93 ,
2_180.000000-3-180.000000,-94 -298 1666 -125 1740 0 1740 1314 870 1494 -891 1667 -1761 1487 -2183 837 -2183 477 -2109 352 -1686 -298 -725.521 -203.589 -94 -298 ,
2_180.000000-1-180.000000,1274 -173 3034 0 3034 261 3034 1314 3034 1575 1273 1748 -1761 1748 -2183 1098 -2183 837 -2183 738 -2183 477 -1760 -173 1274 -173 ,
7_180.000000-2-180.000000,902 -1580 1761 -1487 2821 -1553 3243 -903 3243 -543 3243 222 3243 582 2820 1232 321 1232 -1439 1059 -1645 672 -1645 -642 -1562 -1189 -1068.88 -1237.44 -859 -1407 902 -1580 ,
6_180.000000-3-180.000000,1721 -1418 1795 -1293 1740 0 870 180 -141 110 -966 253 -1836 73 -1965.84 -53.7603 -2518 -168 -2621 -853 -2539 -1293 -2465 -1418 -873 -1418 129 -1418 1721 -1418 ,
3_180.000000-6-180.000000,966 -253 1836 -73 1965.84 53.7603 2518 168 2621 853 2539 1293 2465 1418 873 1418 -129 1418 -1721 1418 -1795 1293 -1740 0 -870 -180 141 -110 966 -253 ,
7_180.000000-4-180.000000,741 -93 1015.8 -63.2482 1060 -66 1211.08 -42.1066 1307.9 -31.6241 1860 -66 2077.18 -29.711 2660 -66 2660 1059 2560 1427 1159 1427 61 1427 -1340 1427 -1546 1040 -1645 672 -1562 125 -1088 92 -859 -93 -373.542 -40.4416 -59 -93 415.898 -41.5849 741 -93 ,
2_180.000000-5-180.000000,-824 -173 936 0 936 1314 935 1973 -826 2146 -1761 2146 -2183 1496 -2183 1136 -2183 837 -2183 477 -1760 -173 -824 -173 ,
6_180.000000-5-180.000000,991 -1293 990 -634 935 659 0 659 -342.881 635.259 -901 732 -1836 732 -2082.86 491 -2518 491 -2621 -194 -2621 -853 -2539 -1293 -1603 -1293 55 -1293 991 -1293 ,
5_180.000000-6-180.000000,1836 -732 2082.86 -491 2518 -491 2621 194 2621 853 2539 1293 1603 1293 -55 1293 -991 1293 -990 634 -935 -659 0 -659 342.881 -635.259 901 -732 1836 -732 ,
7_180.000000-6-180.000000,977 -166 1836 -73 2896 -139 3168.95 127.469 3578 102 3681 787 3681 1912 3599 2352 1100 2352 1005 2352 -1494 2352 -1700 1965 -1645 672 -1562 125 -1088 92 -859 -93 152 -23 977 -166 ,
6_180.000000-6-180.000000,1891 -1366 2137.86 -1125 2573 -1125 2676 -440 2621 853 2539 1293 1124.15 1293 703 1366 -1891 1366 -2137.86 1125 -2573 1125 -2676 440 -2621 -853 -2539 -1293 -1124.15 -1293 -703 -1366 1891 -1366 ,0 0 
4_180.000000-2-180.000000,1662 -1855 2084 -1205 2183 -837 2183 -477 1760 173 1256.3 123.489 960 173 466.639 124.505 160 173 -1600 0 -1600 -1314 -1500 -1682 261 -1855 900.02 -1780.14 1662 -1855 ,
0_180.000000-1-180.000000,2017 -142 2632.93 -56 3999 -56 3999 205 3999 2032 3999 2293 2631.93 2293 2016 2379 -1018 2379 -1202.18 2162 -1769 2162 -2035 1612 -2035 1351 -1854 1218 -1854 1019 -2035 886 -2035 625 -1768 75 -1201.18 75 -1017 -142 2017 -142 ,
7_180.000000-0-180.000000,159 -2211 1018 -2118 2078 -2184 2280 -1946 2829 -1967 3095 -1417 3095 -691 3095 -292 3095 434 2828 984 2261.18 984 2077 1201 -422 1201 -1037.93 1115 -2404 1115 -2610 728 -2610 -1360 -2527 -1907 -2053 -1940 -1824 -2125 -858 -2069 159 -2211 ,
