Key,Outers,Inners
6_180.000000-6-180.000000,200 -200 200 0 199 200 0 200 -1 200 -200 200 -200 0 -199 -200 0 -200 1 -200 200 -200 ,
5_180.000000-6-180.000000,400 -300 399 -100 199 200 0 200 -199 -100 -199 -300 1 -300 200 -300 400 -300 ,
5_180.000000-5-180.000000,200 -300 399 0 199 300 -200 300 -399 0 -199 -300 200 -300 ,
3_180.000000-6-180.000000,299 -200 298 0 239.2 118.788 299 300 298 500 99 500 -1.5 449.75 -102 500 -301 500 -301 300 -240.759 179.518 -300 0 -300 -200 -100 -200 -0.250627 -150.125 99 -200 299 -200 ,
6_180.000000-3-180.000000,301 -500 301 -300 240.759 -179.518 300 0 300 200 100 200 0.250627 150.125 -99 200 -299 200 -298 0 -239.2 -118.788 -299 -300 -298 -500 -99 -500 1.5 -449.75 102 -500 301 -500 ,
6_180.000000-5-180.000000,0 -200 199 100 199 300 -1 300 -200 300 -400 300 -399 100 -199 -200 0 -200 ,
2_180.000000-5-180.000000,-100 -100 0 0 199 300 199 501 99 600 -101 600 -300 600 -500 600 -600 500 -599 300 -399 0 -299 -100 -100 -100 ,
2_180.000000-3-180.000000,201 -400 301 -300 301 -99 240.958 21.0843 300 200 300 401 200 500 0 500 -99.7494 450.125 -199 500 -399 500 -499 400 -498 200 -439.2 81.2121 -499 -100 -498 -300 -398 -400 -199 -400 -98.5 -349.75 2 -400 201 -400 ,
4_180.000000-6-180.000000,100 -200 200 0 300 100 499 200 499 300 498 500 299 500 -2 500 -201 500 -201 300 -200 -200 -100 -200 0 -200 100 -200 ,
4_180.000000-5-180.000000,-100 -200 97.0297 97.0297 100 100 299 200 498 500 498 600 99 600 -2 600 -401 600 -400 100 -200 -200 -100 -200 ,
2_180.000000-4-180.000000,101 -400 201 -300 201 -99 200 401 100 500 0 500 -100 500 -200 500 -300 400 -400 200 -599 100 -699 0 -699 -100 -698 -300 -598 -400 -399 -400 -98 -400 101 -400 ,
4_180.000000-4-180.000000,101 -500 201 -300 301 -200 500 -100 500 0 499 500 399 500 -1 500 -101 500 -201 300 -301 200 -500 100 -500 0 -499 -500 -399 -500 1 -500 101 -500 ,
1_180.000000-5-180.000000,-199 -200 0 0 199 300 199 501 99 600 -201 600 -300 600 -600 600 -499 400 -599 200 -599 100 -399 -200 -199 -200 ,
5_180.000000-1-180.000000,600 -600 499 -400 599 -200 599 -100 399 200 199 200 0 0 -199 -300 -199 -501 -99 -600 201 -600 300 -600 600 -600 ,
1_180.000000-3-180.000000,102 -500 301 -300 301 -99 240.958 21.0843 300 200 300 401 200 500 -100 500 -149.624 475.188 -199 500 -499 500 -400 300 -403.882 288.235 -498 100 -498 3.0303 -499 0 -448.5 -100 -418.8 -160 -498 -400 -498 -500 -298 -500 -198 -450 -98 -500 102 -500 ,
3_180.000000-4-180.000000,300 -500 299.006 -3.01205 300 0 299 500 199 500 49 425 -101 500 -201 500 -301 300 -401 200 -600 100 -600 0 -519.88 -160.241 -599 -400 -599 -500 -200 -500 -99 -500 300 -500 ,
3_180.000000-1-180.000000,499 -500 400 -300 403.882 -288.235 498 -100 498 -3.0303 499 0 448.5 100 418.8 160 498 400 498 500 298 500 198 450 98 500 -102 500 -301 300 -301 99 -240.958 -21.0843 -300 -200 -300 -401 -200 -500 100 -500 149.624 -475.188 199 -500 499 -500 ,
2_180.000000-1-180.000000,300 -400 400 -300 400 -99 349.5 1 399 100 399 200 399 301 399 401 299 500 99 500 -101 500 -201 400 -400 200 -400 -1 -399 -201 -299 -301 -199 -400 0 -400 101 -400 300 -400 ,
1_180.000000-4-180.000000,2 -500 201 -300 201 -99 200 401 100 500 0 500 -200 500 -300 500 -400 300 -500 200 -699 100 -699 0 -623.124 -150.249 -698 -300 -698 -400 -698 -500 -498 -500 -198 -500 2 -500 ,
4_180.000000-1-180.000000,300 -500 400 -300 500 -200 699 -100 699 0 623.124 150.249 698 300 698 400 698 500 498 500 198 500 -2 500 -201 300 -201 99 -200 -401 -100 -500 0 -500 200 -500 300 -500 ,
5_180.000000-4-180.000000,401 -600 400 -100 200 200 100 200 -97.0297 -97.0297 -100 -100 -299 -200 -498 -500 -498 -600 -99 -600 2 -600 401 -600 ,
1_180.000000-1-180.000000,201 -500 400 -300 400 -99 349.5 1 399 100 399 200 399 301 399 401 299 500 99 500 -1 500 -201 500 -400 300 -400 99 -349.5 -1 -399 -100 -399 -200 -399 -301 -399 -401 -299 -500 -99 -500 1 -500 201 -500 ,
0_180.000000-6-180.000000,1 -100 200 0 200 300 199 500 -1 599 -200 599 -400 500 -400 300 -399 0 -199 -100 1 -100 ,
6_180.000000-0-180.000000,200 -599 400 -500 400 -300 399 0 199 100 -1 100 -200 0 -200 -300 -199 -500 1 -599 200 -599 ,
3_180.000000-0-180.000000,299 -599 499 -500 498 -200 459 -121.212 499 0 498 300 298 400 98 300 -102 400 -301 300 -301 0 -260.639 -80.7229 -300 -200 -300 -500 -100 -599 99.5 -500.248 299 -599 ,
1_180.000000-2-180.000000,101 -500 201 -400 400 -200 400 1 399 201 299 301 199 400 0 400 -101 400 -300 400 -400 300 -400 99 -349.5 -1 -399 -100 -399 -200 -399 -301 -399 -401 -299 -500 -99 -500 101 -500 ,
0_180.000000-2-180.000000,101 -400 300 -300 400 -200 400 100 399 300 299 400 99 499 -100 499 -300 400 -400 300 -400 99 -399 -201 -299 -300 -99 -400 101 -400 ,
2_180.000000-0-180.000000,100 -499 300 -400 400 -300 400 -99 399 201 299 300 99 400 -101 400 -300 300 -400 200 -400 -100 -399 -300 -299 -400 -99 -499 100 -499 ,
4_180.000000-2-180.000000,200 -500 300 -400 400 -200 599 -100 699 0 699 100 698 300 598 400 399 400 98 400 -101 400 -201 300 -201 99 -200 -401 -100 -500 0 -500 100 -500 200 -500 ,
0_180.000000-1-180.000000,201 -400 400 -300 400 0 374.373 50.7463 399 100 399 200 399 400 399 500 199 599 -1 599 -201 500 -400 300 -400 99 -399 -201 -299 -300 -99 -400 201 -400 ,
0_180.000000-0-180.000000,1 -499 201 -400 400 -300 400 0 399 300 199 400 -1 499 -201 400 -400 300 -400 0 -399 -300 -199 -400 1 -499 ,
6_180.000000-6-0.000000,200 -200 200 0 200 200 0 200 -200 200 -200 0 -199 -200 0 -200 1 -200 200 -200 ,
5_180.000000-6-0.000000,400 -300 400 -100 200 200 0 200 -199 -100 -199 -300 1 -300 200 -300 400 -300 ,
