Key,Outers,Inners
14_0.000000-11-180.000000,600 -200 600 0 800 0 800 200 799 800 599.333 800 599 1000 399 1000 0 1000 -200 1000 -200 800 -400 800 -400 600 -400 200 -400 0 -200 0 -200 -200 0 -200 400 -200 600 -200 ,
19_90.000000-15-270.000000,-200 -402 -100 -401 -0.497512 -301 0 -301 200 -100 200 0 200 100 200 200 0 399 -0.502513 399 -100 498 -200 498 -300 498 -400 498 -500 398 -600 298 -700 198 -700 98 -700 -2 -700 -102 -600 -202 -500 -302 -400 -402 -200 -402 ,
1_270.000000-7-180.000000,400 -300 400 -200 400 0 400 100 200 100 199 400 0 400 -300 100 -300 -300 0 -300 100 -300 400 -300 ,
5_270.000000-6-0.000000,100 -900 500 -200 500 300 0 300 -400 299 -400 -1 -400 -400 -400 -700 -200 -700 -200 -900 100 -900 ,
2_0.000000-18-270.000000,400 -400 600 -399 600 100 200 500 0 500 0 100 0 0 0 -400 400 -400 ,
11_0.000000-5-180.000000,0 -600 0 -200 0 0 0 400 -600 400 -700 400 -1300 400 -1300 -200 -600 -600 0 -600 ,
7_180.000000-12-180.000000,500 -400 500 0 499 500 99 500 0 500 -400 500 -400 400 -400 0 -400 -100 -200 -100 -199 -400 0 -400 301 -400 500 -400 ,
1_180.000000-19-0.000000,400 -700 600 -500 600 -300 600 -200 600 0 400 200 200 200 100 200 -100 200 -300 0 -300 -200 -100 -400 0 -500 200 -700 400 -700 ,
14_90.000000-15-0.000000,100 -400 100 -300 200 -300 200 -200 200 -199.5 300 -199 300 -99.5 400 -99 400 1 400 101 400 201 300 201 300 301 200 301 200 400 100 400 100 500 0 500 -100 500 -200 500 -200 400 -300 400 -300 300 -400 300 -400 200 -500 200 -500 100 -500 0 -500 -100 -400 -100 -400 -200 -300 -200 -300 -300 -200 -300 -200 -400 -100 -400 0 -400 100 -400 ,
13_180.000000-2-270.000000,0 -400 400 0 400 400 0 400 -400 400 -400 0 -399 -400 0 -400 ,
0_90.000000-20-270.000000,0 -700 200 -699 400 -499 600 -299 600 1 400 300 200 300 0 300 -200 0 -200 -200 -200 -300 -200 -500 0 -700 ,
20_0.000000-20-0.000000,300 -600 600 -400 800 -200 800 0 800 200 600 400 300 600 0 600 -300 600 -600 400 -800 200 -800 0 -800 -200 -600 -400 -300 -600 0 -600 300 -600 ,
19_0.000000-19-0.000000,200 -600 400 -400 600 -200 600 0 600 200 400 400 200 600 0 600 -200 600 -400 400 -600 200 -600 0 -600 -200 -400 -400 -200 -600 0 -600 200 -600 ,
13_270.000000-10-0.000000,100 -400 100 -300 400 -300 400 -200 400 100 400 200 0 200 -400 199 -400 -1 -400 -200 -400 -400 -300 -400 0 -400 100 -400 ,
21_0.000000-15-180.000000,-99 -300 101 -200 101 -150 201 -100 201 0 201 100 100 150.5 100 200 -100 300 -200 300 -300 300 -400 300 -600 200 -600 149.5 -699 100 -699 0 -699 -100 -599.503 -149.749 -599 -200 -399 -300 -299 -300 -199 -300 -99 -300 ,
1_180.000000-20-0.000000,500 -700 800 -500 800 -300 800 -200 800 0 500 200 200 200 -100 200 -300 0 -300 -200 -100 -400 0 -500 200 -700 500 -700 ,
3_0.000000-12-0.000000,500 -500 500 0 500 500 0 500 -500 500 -500 0 0 -500 500 -500 ,
13_0.000000-5-270.000000,0 -400 400 -399 400 1 400 300 400 700 0 700 -400 0 -400 -400 0 -400 ,
0_270.000000-5-0.000000,700 -200 700 0 0 400 -200 200 -200 -200 0 -200 500 -200 700 -200 ,
13_270.000000-8-270.000000,300 -400 300 -199 600 -199 600 200 600 201 600 600 0 600 -400 599 -400 200 -400 -1 -400 -400 -100 -400 0 -400 300 -400 ,
8_0.000000-1-90.000000,300 -300 300 0 300 300 100 300 100 600 -300 600 -600 300 -600 -300 -300 -300 0 -300 300 -300 ,
19_0.000000-20-0.000000,300 -600 600 -400 800 -200 800 0 800 200 600 400 300 600 100 600 0 600 -200 600 -400 400 -600 200 -600 0 -600 -200 -400 -400 -200 -600 0 -600 100 -600 300 -600 ,
1_90.000000-10-90.000000,-100 -600 200 -300 200 100 0 100 -100 100 -300 100 -300 0 -300 -200 -300 -300 -200 -300 -200 -600 -100 -600 ,
21_90.000000-14-180.000000,101 -600 201 -400 301 -400 401 -200 401 0 401 1 401 201 301 400 201 400 200 400 200 401 100 600 0 600 -100 600 -200 600 -300 400 -399 400 -499 200 -499 0 -499 -200 -399 -400 -299 -400 -199 -600 -99 -600 1 -600 101 -600 ,
9_180.000000-8-0.000000,600 -400 600 -300 900 -300 900 -200 900 300 900 400 400 400 300 400 -200 400 -200 200 -200 100 -200 -100 0 -100 0 -200 0 -400 200 -400 400 -400 600 -400 ,
20_0.000000-19-0.000000,200 -600 400 -400 600 -200 600 0 600 200 400 400 200 600 0 600 -100 600 -300 600 -600 400 -800 200 -800 0 -800 -200 -600 -400 -300 -600 -100 -600 0 -600 200 -600 ,
10_180.000000-11-0.000000,600 -100 600 0 900 0 900 100 900 600 900 700 500 700 300 700 -100 700 -100 500 -100 100 -100 -100 0 -100 500 -100 600 -100 ,
1_0.000000-11-90.000000,900 -300 900 300 600 600 0 600 0 300 0 0 0 -300 300 -300 600 -300 900 -300 ,
7_90.000000-12-90.000000,500 -699 500 -499 800 -498 800 -299 800 2 800 201 400 201 -100 200 -100 -200 -100 -299 -100 -699 0 -699 400 -699 500 -699 ,
0_0.000000-14-180.000000,401 -600 401 -400 601 -400 601 -200 401 0 400 0 200 200 0 200 0 0 -199 0 -199 -200 -199 -400 0 -400 1 -600 201 -600 401 -600 ,
19_0.000000-18-90.000000,0 -200 200 0 200 200 200 500 200 700 0 900 -200 900 -400 900 -600 700 -600 500 -600 200 -600 0 -400 -200 -200 -200 0 -200 ,
13_270.000000-11-90.000000,600 -400 600 0 600 200 600 600 0 600 -400 599 -400 200 -400 -1 -400 -400 0 -400 200 -400 600 -400 ,
14_0.000000-4-270.000000,300 -200 300 0 500 0 500 200 500 600 500 800 300 800 300 1000 100 1000 0 800 -100 800 -400 200 -400 0 -200 0 -200 -200 0 -200 100 -200 300 -200 ,
20_270.000000-15-270.000000,-200 -501 -100 -500 -33.3333 -400 0 -400 200 -100 200 0 200 200 200 300 0 500 -1 500 -100 599 -200 599 -400 598 -500 498 -600 398 -700 298 -700 198 -700 -2 -700 -102 -500 -401 -466.89 -401 -400 -501 -200 -501 ,
20_0.000000-21-90.000000,0 -600 200 -400 300 -200 300 0 300 200 200 400 0 600 -100 600 -300 600 -400 600 -700 400 -800 200 -800 0 -800 -1 -800 -201 -700 -400 -400 -600 -300 -600 -100 -600 0 -600 ,
14_180.000000-4-0.000000,600 -200 600 0 799 0 799 200 599.501 299.749 599 400 -1 700 -201 700 -201 500 -401 500 -401 300 -401 200 -401 0 -200 0 -200 -200 0 -200 400 -200 600 -200 ,
10_180.000000-20-0.000000,500 -500 650 -400 800 -400 1100 -200 1100 -100 1100 0 1100 100 800 300 500 300 400 300 100 300 -100 100 -100 -100 -100 -300 100 -500 200 -500 400 -500 500 -500 ,
8_270.000000-8-180.000000,600 -600 600 -300 600 0 600 300 399 300 399 600 99 600 0 600 -300 600 -300 399 -600 399 -600 0 -600 -201 -600 -600 0 -600 600 -600 ,
13_0.000000-6-0.000000,500 -600 500 -200 500 -100 500 300 100 300 0 300 -400 300 -400 0 -400 -100 -400 -400 -200 -400 -200 -600 100 -600 200 -600 500 -600 ,
13_0.000000-18-270.000000,0 -400 200 -399 200 1 200 100 200 500 0 500 -200 500 -400 500 -400 100 -400 0 -400 -400 0 -400 ,
3_270.000000-9-90.000000,-300 -800 200 -300 200 200 0 200 -500 199 -500 -1 -500 -300 -500 -500 -400 -500 -400 -800 -300 -800 ,
19_180.000000-21-0.000000,201 -400 401 -300 600 -100 600 0 600 100 600 200 400 400 200 500 0 500 -200 500 -400 400 -600 200 -600 100 -600 0 -600 -100 -399 -300 -199 -400 1 -400 201 -400 ,
20_0.000000-8-0.000000,400 -500 600 -300 600 -100 600 300 600 500 400 700 100 700 -200 700 -500 700 -800 500 -800 300 -800 200 -800 0 -600 -133.333 -600 -300 -300 -500 0 -500 100 -500 400 -500 ,
1_0.000000-3-0.000000,800 -300 500 0 300 200 0 500 0 200 0 0 0 -300 300 -300 500 -300 800 -300 ,
18_180.000000-3-270.000000,0 -200 500 -199 500 1 500 300 500 500 0 500 -500 0 -500 -200 0 -200 ,
13_90.000000-7-0.000000,400 -700 400 -300 400 100 0 100 -400 100 -400 0 -400 -300 -400 -400 -200 -400 -200 -700 0 -700 200 -700 400 -700 ,
10_180.000000-19-0.000000,400 -500 500 -400 700 -400 900 -200 900 -100 900 0 900 100 700 300 500 300 300 300 100 300 -100 100 -100 -100 -100 -300 100 -500 200 -500 300 -500 400 -500 ,
3_90.000000-12-180.000000,0 -1 500 0 500 499 499 999 0 999 -500 499 -500 -1 0 -1 ,
20_0.000000-5-180.000000,-200 -200 0 0 0 200 0 400 0 600 -200 800 -500 800 -900 800 -1200 800 -1500 600 -1500 400 -1200 200 -500 -200 -200 -200 ,
4_0.000000-5-90.000000,0 -300 400 400 400 700 0 700 -200 700 -600 700 -600 0 0 -300 ,
13_270.000000-21-0.000000,400 -600 600 -500 600 -400 600 -100 600 0 400 100 200 100 -200 99 -400 -1 -400 -101 -400 -400 -400 -500 -200 -600 0 -600 200 -600 400 -600 ,
6_180.000000-15-270.000000,0 -701 100 -700 100 -600 200 -600 200 -500 200 -100 200 0 100 0 100 99 0 99 -400 99 -500 99 -500 0 -600 -1 -600 -101 -599 -401 -499.333 -401 -499 -501 -399 -501 -399 -601 -299 -601 -299 -701 0 -701 ,
20_0.000000-11-0.000000,400 -200 600 0 600 200 600 600 600 800 400 1000 100 1000 -200 1000 -500 1000 -800 800 -800 600 -800 200 -800 0 -500 -200 -200 -200 100 -200 400 -200 ,
18_270.000000-2-0.000000,0 -500 0 -100 0 0 0 400 -400 400 -600 399 -600 -100 -200 -500 0 -500 ,
9_0.000000-13-270.000000,0 -200 400 -199 400 1 400 200 400 400 200 400 0 400 -200 400 -200 300 -500 300 -500 200 -500 -100 -500 -200 0 -200 ,
9_180.000000-0-0.000000,0 -100 0 0 300 0 300 100 300 200 300 300 100 300 -200 300 -400 300 -400 100 -200 -100 0 -100 ,
5_0.000000-15-90.000000,100 -600 100 -500 200 -500 200 -400 200 -100 200 0 100 0 100 100 0 100 -600 100 -700 100 -700 0 -800 -1 -800 -101 -700 -158.143 -700 -200 0 -600 100 -600 ,
5_90.000000-21-180.000000,400 -900 600 -800 600 -700 600 -100 600 0 399 100 199 100 0 0 -400 -700 -400 -800 -200 -900 0 -900 200 -900 400 -900 ,
8_0.000000-20-0.000000,500 -700 800 -500 800 -300 800 -200 800 0 600 133.333 600 300 300 500 0 500 -100 500 -400 500 -600 300 -600 100 -600 -300 -600 -500 -400 -700 -100 -700 200 -700 500 -700 ,
3_0.000000-17-180.000000,100 -500 100 0 99 400 0 400 -401 400 -500 400 -500 0 0 -500 100 -500 ,
