Key,Outers,Inners
4_270.000000-2-270.000000,5 -152 80 -2 78 239 1 239 -174 236 -251 89 -252 -150 -172 -152 5 -152 ,
2_270.000000-4-270.000000,-1 -239 174 -236 251 -89 252 150 172 152 -5 152 -80 2 -78 -239 -1 -239 ,
2_270.000000-1-270.000000,-1 -239 271 -238 272 1 273 316 193 318 -82 318 -80 2 -78 -239 -1 -239 ,
1_270.000000-4-270.000000,2 -316 177 -313 254 -166 252 150 75 150 -197 149 -272 -1 -273 -316 2 -316 ,
4_270.000000-1-270.000000,-75 -150 197 -149 272 1 273 316 -2 316 -177 313 -254 166 -252 -150 -75 -150 ,
1_270.000000-1-270.000000,2 -316 274 -315 275 0 273 316 -2 316 -274 315 -275 0 -273 -316 2 -316 ,
8_270.000000-2-270.000000,104 -747 102 -506 78 239 1 239 -171 113 -251 84 -252 -155 -243.766 -189.995 -257 -501 -258 -740 -178 -742 104 -747 ,
2_270.000000-8-270.000000,-1 -239 171 -113 251 -84 252 155 243.766 189.995 257 501 258 740 178 742 -104 747 -102 506 -78 -239 -1 -239 ,
4_270.000000-8-270.000000,-75 -150 97 -24 177 5 252 155 236 223 258 740 -24 745 -199 742 -276 595 -252 -150 -75 -150 ,
8_270.000000-1-270.000000,24 -745 296 -744 297 -429 273 316 -2 316 -174 190 -254 161 -252 -155 -249.081 -167.405 -260 -424 -258 -740 24 -745 ,
1_270.000000-8-270.000000,2 -316 174 -190 254 -161 252 155 249.081 167.405 260 424 258 740 -24 745 -296 744 -297 429 -273 -316 2 -316 ,
2_270.000000-2-270.000000,79 -241 80 -2 78 239 -2 241 -79 241 -80 2 -78 -239 2 -241 79 -241 ,
3_270.000000-2-270.000000,-39 -386 80 -2 78 239 10.6427 239 11 373 9 614 -68 614 -309 612 -310 373 -310 -384 -230 -386 -39 -386 ,
2_270.000000-3-270.000000,68 -614 309 -612 310 -373 310 384 230 386 39 386 -80 2 -78 -239 -10.6427 -239 -11 -373 -9 -614 68 -614 ,
3_270.000000-4-270.000000,-119 -384 56 -381 133 -234 252 150 182 150 183 525 6 525 -235 523 -310 373 -310 -384 -119 -384 ,
4_270.000000-3-270.000000,-6 -525 235 -523 310 -373 310 384 119 384 -56 381 -133 234 -252 -150 -182 -150 -183 -525 -6 -525 ,
3_270.000000-8-270.000000,-119 -384 53 -258 133 -229 252 155 236 223 258 740 188.003 741.241 189 1115 -93 1120 -334 1118 -334 361 -310 -384 -119 -384 ,
8_270.000000-3-270.000000,93 -1120 334 -1118 334 -361 310 384 119 384 -53 258 -133 229 -252 -155 -236 -223 -258 -740 -188.003 -741.241 -189 -1115 93 -1120 ,
5_270.000000-2-270.000000,-21 -56 80 -2 117 89 115 330 106 514 97.8766 577.363 113 612 133 680 131 921 128 969 -63 1034 -281 1036 -358 1036 -360 687 -397 571 -451 539 -452 300 -398 245 -272 -10 -168 -54 -88 -56 -21 -56 ,
2_270.000000-5-270.000000,358 -1036 360 -687 397 -571 451 -539 452 -300 398 -245 272 10 168 54 88 56 21 56 -80 2 -117 -89 -115 -330 -106 -514 -97.8766 -577.363 -113 -612 -133 -680 -131 -921 -128 -969 63 -1034 281 -1036 358 -1036 ,
5_270.000000-4-270.000000,-101 -54 74 -51 175 3 252 150 289 241 280 425 270 503 267 635 254 693 285 764 305 832 302 880 111 945 -107 947 -284 947 -359 797 -360.934 459.521 -377 450 -452 300 -398 245 -272 -10 -168 -54 -101 -54 ,
5_270.000000-8-270.000000,-101 -54 0 0 125.014 91.5801 151 101 252 155 289 246 280 430 278.45 442.086 293.607 798.264 305 837 302 885 290.27 934.851 311 1422 308 1470 117 1535 -165 1540 -383 1542 -385 1193 -422 1077 -476 1045 -452 300 -398 245 -272 -10 -168 -54 -101 -54 ,
5_270.000000-5-270.000000,258 -851 359 -797 396 -706 398 -357 407.833 -326.173 452 -300 489 -209 480 -25 470 53 467 185 454 243 485 314 505 382 502 430 448 485 322 740 218 784 27 849 -191 851 -258 851 -359 797 -396 706 -398 357 -407.833 326.173 -452 300 -489 209 -480 25 -470 -53 -467 -185 -454 -243 -485 -314 -505 -382 -502 -430 -448 -485 -322 -740 -218 -784 -27 -849 191 -851 258 -851 ,
6_270.000000-2-270.000000,-152 -829 80 -2 78 239 58 306 -180 387 -182 509 -259 509 -499 414 -500 175 -497.692 167.578 -546 143 -547 -96 -544 -134 -477 -212 -418.216 -283.847 -425 -588 -426 -827 -346 -829 -152 -829 ,
2_270.000000-6-270.000000,259 -509 499 -414 500 -175 497.692 -167.578 546 -143 547 96 544 134 477 212 418.216 283.847 425 588 426 827 346 829 152 829 -80 2 -78 -239 -58 -306 180 -387 182 -509 259 -509 ,
6_270.000000-4-270.000000,-232 -827 -57 -824 20 -677 252 150 232 217 -6 298 -8 420 -185 420 -425 325 -500 175 -463.692 58.2267 -472 54 -547 -96 -544 -134 -477 -212 -414 -289 -426 -827 -232 -827 ,
6_270.000000-1-270.000000,-232 -827 40 -826 272 1 273 316 253 383 15 464 13 586 -262 586 -502 491 -500.441 244.705 -549 220 -547 -96 -544 -134 -477 -212 -422.808 -278.234 -428 -511 -426 -827 -232 -827 ,
1_270.000000-6-270.000000,262 -586 502 -491 500.441 -244.705 549 -220 547 96 544 134 477 212 422.808 278.234 428 511 426 827 232 827 -40 826 -272 -1 -273 -316 -253 -383 -15 -464 -13 -586 262 -586 ,
8_270.000000-6-270.000000,284 -1015 524 -920 516.168 -676.897 571 -649 547 96 544 134 477 212 444.534 251.681 426 827 232 827 60 701 -20 672 -252 -155 -236 -223 -258 -740 -238 -807 0 -888 2 -1010 284 -1015 ,
