Key,Outers,Inners
5_270.000000-5-270.000000,800 -399 1800 -199 2000 1 1800 200 800 399 2.00501 239.401 -800 399 -1800 199 -2000 -1 -1800 -200 -800 -399 -2.00501 -239.401 800 -399 ,0 0 
1_270.000000-5-270.000000,500 -399 1500 -199 2000 1 1800 901 2000 1701 1800 1900 1300 2100 500 1901 -300 2100 -500 1900 -400 1500 -600 900 -400 199 -500 -200 500 -399 ,
3_270.000000-1-270.000000,500 -2300 500 -1900 457.143 -1728.57 600 -1300 600 -900 453.369 -386.058 500 -200 500 200 -3400 199 -3900 -1 -3900 -400 -3746.94 -1088.76 -3900 -1701 -3900 -2100 -3400 -2300 500 -2300 ,
1_270.000000-3-270.000000,-500 -200 3400 -199 3900 1 3900 400 3746.94 1088.76 3900 1701 3900 2100 3400 2300 -500 2300 -500 1900 -457.143 1728.57 -600 1300 -600 900 -453.369 386.058 -500 200 -500 -200 ,
7_270.000000-5-270.000000,1000 -3499 2000 -3299 2000 1 1800 200 1200 600 400 401 -400 600 -1100 399 -1300 199 -1300 -501 -1500 -801 -1300 -1901 -1500 -3300 -500 -3499 1000 -3499 ,
7_270.000000-4-270.000000,0 -3300 1100 -3299 1100 -2300 1100 1 1100 1000 500 1400 -600 1400 -1300 1199 -1300 499 -1500 199 -1500 -801 -1380.03 -1460.82 -1500 -2300 -1500 -3300 0 -3300 ,
3_270.000000-7-270.000000,600 -800 1300 -599 1300 -199 1300 101 1500 401 1500 801 1332.01 1724.93 1500 2900 1500 3300 0 3300 -3900 3299 -3900 2900 -3900 -1 -3900 -400 -3300 -800 600 -800 ,
2_270.000000-5-270.000000,1000 -3499 2000 -3299 2000 1 1800 200 400 199 302.01 174.625 200 200 -1200 199 -1400 -1 -1400 -301 -1700 -701 -1500 -2001 -1700 -3300 -700 -3499 1000 -3499 ,
4_270.000000-2-270.000000,0 -1000 1400 -999 1400 -699 1700 -299 1700 701 1576.95 1500.81 1700 2300 1700 3300 0 3300 -1100 3299 -1100 2300 -1100 -1 -1100 -1000 0 -1000 ,
7_270.000000-2-270.000000,0 -3300 1400 -3299 1400 -2999 1700 -2599 1700 0 1700 701 1700 3300 1100 3700 -600 3700 -1300 3499 -1300 2799 -1500 2499 -1500 0 -1500 -801 -1500 -3300 0 -3300 ,
2_270.000000-2-270.000000,0 -3300 1400 -3299 1400 -2999 1700 -2599 1700 0 1700 701 1700 3300 0 3300 -1400 3299 -1400 2999 -1700 2599 -1700 0 -1700 -701 -1700 -3300 0 -3300 ,0 0 
5_270.000000-0-270.000000,-200 -200 2000 -199 2200 1 2800 701 2800 1401 2200 2100 1200 2299 -1000 2299 -2000 2099 -2000 -1 -1800 -200 -202.918 -199.274 -200 -200 ,
0_270.000000-1-270.000000,500 -4000 500 -3300 600 -3000 600 -900 500 -549.5 500 200 -1700 199 -2200 -1 -2800 -701 -2800 -1401 -2682.35 -1930.41 -2800 -2401 -2800 -3101 -2200 -3800 -1700 -4000 500 -4000 ,
1_270.000000-0-270.000000,-500 -200 1700 -199 2200 1 2800 701 2800 1401 2682.35 1930.41 2800 2401 2800 3101 2200 3800 1700 4000 -500 4000 -500 3300 -600 3000 -600 900 -500 549.5 -500 -200 ,
