Key,Outers,Inners
3_0.000000-3-0.000000,200 -600 200 -400 400 -400 400 -200 600 -200 600 0 600 200 400 200 400 400 200 400 200 600 0 600 -200 600 -200 400 -400 400 -400 200 -600 200 -600 0 -600 -200 -400 -200 -400 -400 -200 -400 -200 -600 0 -600 200 -600 ,
2_0.000000-3-0.000000,-200 -800 0 -600 200 -400 400 -200 400 0 400 200 200 200 200 400 0 400 -100 400 -300 400 -300 200 -500 200 -500 100 -500 200 -700 200 -700 400 -900 400 -1100 400 -1100 200 -1300 200 -1300 0 -1300 -200 -1300 -400 -1100 -400 -1100 -600 -900 -600 -700 -600 -600 -600 -500 -600 -500 -800 -400 -800 -300 -800 -200 -800 ,
0_0.000000-1-0.000000,1800 -900 2400 -300 2400 200 1800 800 400 800 -200 200 -200 -300 400 -900 600 -900 900 -600 1300 -600 1600 -900 1800 -900 ,
1_0.000000-0-0.000000,-400 -800 200 -200 200 300 -400 900 -600 900 -900 600 -1300 600 -1600 900 -1800 900 -2400 300 -2400 -200 -1800 -800 -400 -800 ,
2_0.000000-1-0.000000,200 -1000 600 -600 800 -400 1200 0 1200 200 600 800 300 800 0 500 -300 800 -500 800 -1100 200 -1100 -200 -500 -800 -100 -800 100 -1000 200 -1000 ,
1_0.000000-2-0.000000,500 -800 1100 -200 1100 200 500 800 100 800 -100 1000 -200 1000 -600 600 -800 400 -1200 0 -1200 -200 -600 -800 -300 -800 0 -500 300 -800 500 -800 ,
0_0.000000-2-0.000000,2300 -500 2300 -100 2300 0 2300 400 1700 400 1700 600 1600 600 300 600 200 600 -200 200 -200 0 -200 -300 -200 -500 0 -500 100 -500 300 -500 300 -200 700 -200 700 -500 900 -500 1000 -500 1100 -500 1200 -500 1300 -500 1500 -500 1500 -200 1900 -200 1900 -500 2100 -500 2300 -500 ,
3_0.000000-2-0.000000,1100 -400 1100 -200 1300 -200 1300 0 1300 200 1300 400 1100 400 1100 600 900 600 700 600 600 600 500 600 500 800 400 800 300 800 200 800 0 600 -200 400 -400 200 -400 0 -400 -200 -200 -200 -200 -400 0 -400 100 -400 300 -400 300 -200 500 -200 500 -100 500 -200 700 -200 700 -400 900 -400 1100 -400 ,
3_0.000000-1-0.000000,600 -800 800 -600 1200 -200 1400 0 1400 200 1200 400 800 800 600 1000 400 1000 200 800 -200 400 -400 200 -400 0 -200 -200 200 -600 400 -800 600 -800 ,
1_0.000000-1-0.000000,0 -1200 600 -600 1200 0 600 600 0 1200 -600 600 -1200 0 -600 -600 0 -1200 ,
1_0.000000-3-0.000000,-400 -1000 -200 -800 200 -400 400 -200 400 0 200 200 -200 600 -400 800 -600 800 -800 600 -1200 200 -1400 0 -1400 -200 -1200 -400 -800 -800 -600 -1000 -400 -1000 ,
2_0.000000-0-0.000000,-200 -600 200 -200 200 0 200 300 200 500 0 500 -100 500 -300 500 -300 200 -700 200 -700 500 -900 500 -1000 500 -1100 500 -1200 500 -1300 500 -1500 500 -1500 200 -1900 200 -1900 500 -2100 500 -2300 500 -2300 100 -2300 0 -2300 -400 -1700 -400 -1700 -600 -1600 -600 -300 -600 -200 -600 ,
0_0.000000-3-0.000000,1400 -700 1400 -500 1600 -500 1600 -300 1600 0 1600 200 1400 200 1400 400 1200 400 0 400 -200 400 -200 200 -400 200 -400 0 -400 -300 -400 -500 -200 -500 -200 -700 0 -700 200 -700 200 -500 400 -500 400 -400 800 -400 800 -500 1000 -500 1000 -700 1200 -700 1400 -700 ,
2_0.000000-2-0.000000,700 -600 1100 -200 1100 0 1100 200 1100 400 800 400 500 400 500 600 400 600 200 600 100 600 -100 400 -400 400 -400 600 -500 600 -600 600 -700 600 -1100 200 -1100 0 -1100 -200 -1100 -400 -800 -400 -500 -400 -500 -600 -400 -600 -200 -600 -100 -600 100 -400 400 -400 400 -600 500 -600 600 -600 700 -600 ,0 0 
0_0.000000-0-0.000000,1400 -500 1400 0 1400 500 1200 500 200 500 0 500 -200 500 -1200 500 -1400 500 -1400 0 -1400 -500 -1200 -500 -200 -500 0 -500 200 -500 1200 -500 1400 -500 ,0 0 
3_0.000000-0-0.000000,200 -400 200 -200 400 -200 400 0 400 300 400 500 200 500 200 700 0 700 -200 700 -200 500 -400 500 -400 400 -800 400 -800 500 -1000 500 -1000 700 -1200 700 -1400 700 -1400 500 -1600 500 -1600 300 -1600 0 -1600 -200 -1400 -200 -1400 -400 -1200 -400 0 -400 200 -400 ,
