Key,Outers,Inners
6_180.000000-6-180.000000,30 -10 30 0 30 10 0 10 -30 10 -30 0 -30 -10 0 -10 30 -10 ,
5_180.000000-6-180.000000,30 -10 30 0 30 10 0 10 -10 10 -40 10 -40 0 -40 -10 -10 -10 0 -10 30 -10 ,
5_180.000000-5-180.000000,40 -10 40 0 40 10 0 10 -40 10 -40 0 -40 -10 0 -10 40 -10 ,
4_180.000000-5-180.000000,31 -10 40 0 40 10 0 10 -40 10 -80 10 -80 0 -70 -10 -30 -10 -9 -10 31 -10 ,
3_180.000000-6-180.000000,30 -30 30 -20 30 0 30 10 0 10 -10 10 -40 10 -40 0 -40 -10 -40 -20 -29 -30 0 -30 1 -30 30 -30 ,
6_180.000000-3-180.000000,40 -10 40 0 40 10 40 20 29 30 0 30 -1 30 -30 30 -30 20 -30 0 -30 -10 0 -10 10 -10 40 -10 ,
7_180.000000-6-180.000000,80 -10 80 0 70 20 40 20 -10 20 -40 20 -40 10 -40 0 -40 -10 -20 -10 -10 -10 10 -10 17.0968 -6.45161 21 -10 50 -10 51 -10 80 -10 ,
7_180.000000-5-180.000000,90 -10 90 0 80 20 40 20 0 20 -40 20 -40 10 -40 0 -40 -10 -20 -10 0 -10 20 -10 20.6452 -9.67742 21 -10 50 -10 61 -10 90 -10 ,
4_180.000000-7-180.000000,31 -20 40 -10 40 10 20 10 -21 10 -40 10 -50 10 -60 10 -101 10 -130 10 -120 -10 -110 -20 -49 -20 -30 -20 31 -20 ,
7_180.000000-3-180.000000,90 -10 90 10 80 30 69 40 40 40 -11 40 -40 40 -40 20 -40 10 -40 -10 -20 -10 0 -10 20 -10 20.6452 -9.67742 21 -10 50 -10 61 -10 90 -10 ,
3_180.000000-7-180.000000,40 -40 40 -20 40 -10 40 10 20 10 0 10 -20 10 -20.6452 9.67742 -21 10 -50 10 -61 10 -90 10 -90 -10 -80 -30 -69 -40 -40 -40 11 -40 40 -40 ,
0_180.000000-6-180.000000,20 -20 30 0 30 10 40 21 40 31 30 40 20 60 -10 60 -80 50 -80 40 -80 10 -80 0 -10 -20 20 -20 ,
6_180.000000-0-180.000000,10 -60 80 -50 80 -40 80 -10 80 0 10 20 -20 20 -30 0 -30 -10 -40 -21 -40 -31 -30 -40 -20 -60 10 -60 ,
7_180.000000-0-180.000000,60 -60 130 -50 130 -10 120 10 50 30 -30 30 -40 10 -40 0 -50 -11 -50 -31 -40 -40 -30 -60 -10 -60 25.4321 -54.9383 31 -60 60 -60 ,
0_180.000000-0-180.000000,0 -70 70 -60 80 -40 80 -30 90 -19 90 21 80 30 70 50 0 70 -70 60 -80 40 -80 30 -90 19 -90 -21 -80 -30 -70 -50 0 -70 ,
1_180.000000-5-180.000000,11 -10 40 0 50 20 50 30 40 60 0 60 -70 60 -110 60 -120 40 -120 30 -110 20 -110 10 -110 0 -99 -10 -59 -10 -41.8571 -5.71429 -29 -10 11 -10 ,
5_180.000000-1-180.000000,110 -60 120 -40 120 -30 110 -20 110 -10 110 0 99 10 59 10 41.8571 5.71429 29 10 -11 10 -40 0 -50 -20 -50 -30 -40 -60 0 -60 70 -60 110 -60 ,
