Key,Outers,Inners
9_180.000000-9-180.000000,-121 -638 21 -545 103 -475 206 -352 296 -242 356 -102 358 61 348 215 305 334 222 474 121 638 -21 545 -103 475 -206 352 -296 242 -356 102 -358 -61 -348 -215 -305 -334 -222 -474 -121 -638 ,
3_180.000000-9-180.000000,-136 -548 21 -545 319 -533 532 -519 614 -449 704 -339 764 -199 756 -27 746 127 645 291 344 284 169 283 37 285 -65 290 -223 312 -378 366 -698 230 -840 137 -943 14 -945 -149 -902 -268 -819 -408 -677 -463 -516 -513 -377 -535 -253 -545 -136 -548 ,
1_180.000000-9-180.000000,29 -693 111 -623 201 -513 261 -373 253 -225 243 -71 225 80 183 243 82 407 -29 394 -138 390 -251 407 -398 441 -614 490 -756 397 -859 274 -900 78 -982 -76 -984 -239 -941 -358 -858 -498 -726 -518 -626 -539 -494 -573 -243 -642 -88 -682 29 -693 ,
1_180.000000-1-180.000000,764 -545 805 -349 887 -195 879 -47 861 104 819 267 687 287 587 308 455 342 204 411 49 451 -68 462 -179 449 -252.723 446.295 -284 451 -431 485 -647 534 -764 545 -805 349 -887 195 -879 47 -861 -104 -819 -267 -687 -287 -587 -308 -455 -342 -204 -411 -49 -451 68 -462 179 -449 252.723 -446.295 284 -451 431 -485 647 -534 764 -545 ,
3_180.000000-8-180.000000,-171 -626 -14 -623 284 -611 497 -597 583 -428 626 -332 680 -201 726 -79 775 70 767 242 582 288 281 281 106 280 -26 282 -128 287 -197.777 296.716 -256 317 -441 363 -761 227 -840 137 -942 22 -976.705 -17.986 -1403 -25 -1723 -161 -1718 -321 -1576 -376 -1415 -426 -1276 -448 -1152 -458 -964.809 -463.412 -891 -492 -730 -542 -551 -591 -412 -613 -288 -623 -171 -626 ,
1_180.000000-8-180.000000,-6 -771 80 -602 123 -506 177 -375 223 -253 272 -104 264 44 246 195 204 358 19 404 -92 391 -201 387 -314 404 -461 438 -677 487 -756 397 -858 282 -950 176 -1092 108 -1639 99 -1680 -97 -1762 -251 -1757 -411 -1625 -431 -1525 -452 -1393 -486 -1142 -555 -987 -595 -870 -606 -688.376 -611.251 -661 -617 -540.958 -647.92 -457 -671 -278 -720 -123 -760 -6 -771 ,
3_180.000000-4-180.000000,-258 -997 -101 -994 197 -982 410 -968 530 -952 522 -780 507.294 -608.721 509 -439 519 -291 541 -121 647 204 639 376 338 369 163 368 31 370 -71 375 -229 397 -384 451 -704 315 -777.348 219 -872 219 -1192 83 -1159 -59 -1115 -185 -1114.75 -187.491 -1698 -220 -2018 -356 -2015 -515 -1873 -570 -1712 -620 -1573 -642 -1449 -652 -1332 -655 -998.605 -658.481 -983 -717 -941 -857 -799 -912 -638 -962 -499 -984 -375 -994 -258 -997 ,
4_180.000000-1-180.000000,620 -575 756 -397 891 -343 1108 -343 1149 -147 1231 7 1219.57 56.1794 1934 96 1975 292 2057 446 2054 605 1922 625 1822 646 1690 680 1439 749 1284 789 1167 800 1023.47 801.499 1022 807 980 947 848 967 748 988 616 1022 365 1091 210 1131 93 1142 -27 1126 -19 978 -4.07833 804.206 -6 613 -16 465 -38 295 -144 -30 -136 -178 -118 -329 -76 -492 35 -479 144 -475 257 -492 404 -526 620 -575 ,
4_180.000000-8-180.000000,-150 -801 -14 -623 121 -569 338 -569 424 -400 467 -304 521 -173 523.758 -165.686 1164 -130 1250 39 1293 135 1347 266 1393 388 1442 537 1439 696 1254 742 446.351 750.433 407 898 365 1038 180 1084 60 1068 -19 978 -121 863 -213 757 -324.669 703.525 -782 696 -902 680 -897 520 -880 322 -879.533 312.971 -881 167 -891 19 -913 -151 -1019 -476 -1014 -636 -426 -653 -329 -752 -150 -801 ,
5_180.000000-1-180.000000,620 -575 756 -397 891 -343 1108 -343 1149 -147 1231 7 1219.57 56.1794 1934 96 1975 292 2057 446 2054 605 1922 625 1822 646 1690 680 1439 749 1284 789 1167 800 1023.47 801.499 1022 807 980 947 848 967 748 988 616 1022 365 1091 210 1131 93 1142 -27 1126 -19 978 -4.07833 804.206 -6 613 -16 465 -38 295 -144 -30 -136 -178 -118 -329 -76 -492 35 -479 144 -475 257 -492 404 -526 620 -575 ,
