Dataset	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Average	Variance	Max	Min
Dighe2	0.999557	0.997263	0.990418	0.998282	0.996246	0.999557	0.990418	0.998282	0.99523	0.996246	0.99615	1.00138e-05	0.999557	0.990418
Dighe1	0.99846	0.993377	0.991351	0.990594	0.993632	0.997953	0.857393	0.99846	0.992364	0.99034	0.980392	0.00169003	0.99846	0.857393
Fu	0.923526	0.918824	0.91906	0.91906	0.91906	0.918824	0.916485	0.918824	0.920702	0.920702	0.919507	3.01333e-06	0.923526	0.916485
Jakobs1	0.89051	0.89051	0.890739	0.89051	0.89051	0.89051	0.89051	0.89051	0.89051	0.890282	0.89051	1.0425e-08	0.890739	0.890282
Jakobs2	0.876849	0.876404	0.876628	0.872833	0.870388	0.850411	0.868613	0.847163	0.839201	0.876404	0.865489	0.000183331	0.876849	0.839201
Shapes2	0.834975	0.842248	0.842248	0.83136	0.839888	0.839888	0.833058	0.832422	0.840746	0.837321	0.837415	1.56595e-05	0.842248	0.83136
Marques	0.902909	0.904522	0.900379	0.906603	0.901299	0.907761	0.902677	0.898313	0.89923	0.898082	0.902178	1.01441e-05	0.907761	0.898082
Shirts	0.854992	0.852596	0.85849	0.84999	0.850858	0.84999	0.853467	0.857614	0.848474	0.851076	0.852754	1.0207e-05	0.85849	0.848474
Swim	0.754805	0.751729	0.755382	0.759441	0.749431	0.754611	0.750962	0.75077	0.753841	0.755382	0.753635	7.88352e-06	0.759441	0.749431
Trousers	0.884916	0.886952	0.884014	0.883112	0.884916	0.884916	0.884916	0.88763	0.883112	0.882211	0.88467	2.55469e-06	0.88763	0.882211
Mao	0.849381	0.846137	0.852205	0.852856	0.859192	0.855472	0.842474	0.847866	0.848515	0.855472	0.850957	2.26922e-05	0.859192	0.842474
Albano	0.881719	0.887813	0.887362	0.889399	0.891445	0.89395	0.882393	0.891445	0.891445	0.878126	0.88751	2.39394e-05	0.89395	0.878126
Dagli	0.884742	0.883386	0.87934	0.888133	0.884288	0.887227	0.891995	0.889948	0.895645	0.877547	0.886225	2.77263e-05	0.895645	0.877547
Shapes0	0.674602	0.669288	0.676671	0.674602	0.681348	0.673914	0.676671	0.675291	0.676671	0.677189	0.675625	8.37729e-06	0.681348	0.669288
Shapes1	0.748229	0.757256	0.749758	0.749758	0.750524	0.764632	0.75129	0.750524	0.737803	0.753977	0.751375	4.17898e-05	0.764632	0.737803
